
01 createUDB       06 uvSort          11 uhex$           D = Defined in
02 unpack          07 usymTabVal      12 uDRPN           U = Used in
03 udecode         08 ubuildSrc       13 ureadInitDB     P = Received as a parameter
04 ulSort          09 udsSort         14 ureadLins
05 udefVars        10 uinstruction    15 ureadVars

unpack total variables: 189 (not including record variables and fields)
      passed as parameters: 27
      unique variables: 117 (so far)

  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
common variables | 65 Variables  21 Parameters                                              | 
001 outPath      | DU | DU |    |    |    |    |    | DUP|    | DUP|    |    | DU |    | DU | BYTE output path number
002 filePath     |    | DU | DUP|    | DUP|    | DUP| DUP|    | DUP|    |    |    |    |    | BYTE infile path number
003 byteVal      |    |    | DU | DU |    |    | DU | DU |    | DU |    |    |    |    |    | BYTE value read from I-Code module
004 tokenVal     |    |    | DU |    |    |    |    |    |    | DU |    |    |    |    |    | BYTE I-Code token read from I-Code module
005 vPath        |    |    | DU |    | DU | DUP| DU | DU |    | DU |    |    |    |    | DU | BYTE variable file path number
006 lnPath       |    |    | DU | DUP|    |    |    |    |    | DU |    |    |    | DU |    | BYTE line number file path number
007 dPath        |    |    | DU |    | DU |    |    | DU |    | DU |    |    |    |    | DU | BYTE data file path number
008 tokenCode    |    |    |    |    | DU |    |    |    |    | DU |    |    |    |    |    | BYTE I-Code token read from procdedure
009 vToken       |    |    |    |    | DU |    | DU |    |    |    |    |    |    |    |    | BYTE symbol table variable token
010 varCount     | DU |    | DU |    | DU |    | DU | DU |    | DU |    |    |    |    | DU | INTEGER total variable count
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   Passed to uvSort as varCount-1
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   Received by uvSort as top 
011 linCount     | DU |    | DU |    |    |    |    |    |    | DU |    |    |    | DU |    | INTEGER total Line number reference count
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   Passed by udecode as linCount-1
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   Received by ulSort as top
012 er           | DU | DU | DUP| DUP| DUP| DUP| DUP| DUP| DUP| DUP|    |    |    |    |    | INTEGER error number
013 varRefs      | DU |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | INTEGER total variable references
014 lineRefs     | DU |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | INTEGER total line reference count
015 maxData      |    | DU |    |    |    |    |    | DUP|    |    |    |    |    |    |    | INTEGER data memory size
016 tpVars       |    | DU | DUP|    | DUP|    |    |    |    |    |    |    |    |    |    | INTEGER total program variables
